"Latitude","CMT Primary","Segment","Site Name","Longitude","Region","Engagement","Country","City","Training","Site Code"
"30.6666667","No","Chocolate","Chengdu","104.0666667","Asia Pacific","Zero","China","Chengdu","None","CHU"
"44.17333","No","Royal Canin","Constanta","28.63833","Central Europe/CIS","Zero","Romania","Constanta","None","CON"
"35.199412","Yes","Chocolate","Cleveland","-84.868591","North America","Partial: CMT 1","United States","Cleveland","2014-NotSubmitted","CLV"
"55.6329846","Yes","Food","Copenhagen","12.581538","Western Europe","Partial: CMT 2","Denmark","Copenhagen S","None","COP"
"-22.947072","Yes","Petcare","CPS","-47.118623","Latin America","Partial: CMT 2","Brazil","Campinas","None","CPS"
"19.43","No","Petcare","Del. Coyoac?n","-99.14","Latin America","Zero","Mexico","Del. Coyoac?n","None","COY"
"23.1206008","No","Wrigley","Guangzhou","113.3283946","Asia Pacific","Zero","China","Guangzhou","None","CSS"
"18.92184","No","Petcare","Cuernavaca Morelos","-99.22661","Latin America","Zero","Mexico","Cuernavaca Morelos","None","CVA"
"40.801108","Yes","Petcare","Dalton","-81.68777","North America","Partial: CMT 2","United States","Dalton","None","DAL"
"-22.78630","No","Royal Canin","Duque de Caxias","-43.30531","Latin America","Zero","Brazil","Duque de Caxias","None","DCB"
"45.87705","No","Royal Canin","DEVA","22.91302","Central Europe/CIS","Zero","Romania","DEVA","None","DEV"
"20.6075821","No","Petcare","Queretaro","-100.0807298","Latin America","Zero","Mexico","Queretaro","None","DTS"
"48.7666667","No","Chocolate","Steinbourg","7.4166667","Western Europe","Zero","France","Steinbourg","None","DOE"
"45.404356","Yes","Petcare","Assago","9.129896","Western Europe","Partial: CMT 2","Italy","Assago","None","DOL"
"53.3330556","No","Food","Dublin","-6.2488889","Western Europe","Zero","Ireland","Dublin","None","DUB"
"25.047664","No","Chocolate","Dubai DXD","55.181741","META","Zero","United Arab Emirates","Dubai","None","DXD"
"38.76992","No","Royal Canin","Earth City","-90.46675","North America","Zero","United States","Earth City","None","ECI"
"36.03366","No","Chocolate","Mars Retail Group Las Vegas","-115.00236","North America","Zero","United States","Henderson","None","EGM"
"36.072603","No","Chocolate","Mars Chocolate NA Henderson","-115.071108","North America","Zero","United States","Henderson","None","EGM2"
"48.0166667","No","Food","Bruck/Leitha","16.7666667","Central Europe/CIS","Zero","Austria","Bruck/Leitha","None","EFX"
"56.85","Yes","Chocolate","Ekaterinburg","60.6","Central Europe/CIS","Partial: CMT 2","Russia","Ekaterinburg","None","EKA"
"40.15355","No","Chocolate","Elizabethtown","-76.59862","North America","Zero","United States","Elizabethtown","None","ELZ"
"48.5666667","Yes","Petcare","Ernolsheim","7.5666667","Western Europe","Partial: CMT 2","France","Ernolsheim zur Bruche","None","ERN"
"41.904816","No","Wrigley","Chicago","-87.656732","North America","Zero","United States","Chicago","None","ETC"
"51.6166667","No","Chocolate","Chocoalte Veghel","5.55","Western Europe","Zero","Netherlands","Veghel","None","EVE"
"51.6166667","No","Petcare","Petcare Veghel","5.55","Western Europe","Zero","Netherlands","Veghel","None","EVE2"
"41.033333333333","No","Chocolate","Istanbul","28.966666666667","META","Zero","Turkey","Esentepe, Istanbul","None","EXI"
"33.88","No","Chocolate","Lebanon","35.50","META","Zero","Lebanon","Beirut","None","EXL"
"25.047664","No","Chocolate","Dubai","55.181741","META","Zero","United Arab Emirates","Dubai","None","EXD"
"-25.6241667","No","Petcare","Rosslyn","28.0941667","META","Zero","South Africa","Rosslyn","None","EXR"
"49.0","Yes","Drinks","Roissy","2.5166667","Western Europe","Partial: CMT 2","France","Roissy","None","FSP"
"51.2666667","Yes","Drinks","Basingstoke","-1.0833333","Western Europe","Full","United Kingdom","Basingstoke","2014-Submitted","FSQ"
"52.922845","Yes","Drinks","Verden (Drinks)","9.287375","Western Europe","Partial: CMT 2","Germany","Verden/Aller","None","FSV"
"35.933315","Yes","Petcare","FTN","-86.805596","North America","Partial: CMT 1","United States","Franklin","2014-NotSubmitted","FTN"
"55.7127778","Yes","Petcare","Gargzdai","21.4033333","Central Europe/CIS","Partial: CMT 2","Lithuania","Gargzdai","None","GAR"
"20.4167","No","Petcare","Poncitlan","-102.9000","Latin America","Zero","Mexico","Poncitlan","None","GDL"
"41.9071454","Yes","Wrigley","Wrigley Global Innovation Center","-87.656372","North America","Full","United States","Chicago","2014-Submitted","GIC"
"39.08","No","Other","Germantown","-77.15","North America","Zero","United States","Germantown","None","GMD"
"36.2969938","No","Wrigley","Wrigley Guangzhou","120.0091596","Asia Pacific","Zero","China","Guangzhou","None","GNZ"
"28.45950","No","Chocolate","Gurgaon","77.02664","META","Zero","India","Gurgaon","None","GRN"
"34.1580532","Yes","Wrigley","Wrigley Gainesville","-83.9108968","North America","Partial: CMT 2","United States","Flowery Branch","None","GNV"
"33.3953","Yes","Food","Greenville, MS","-91.0501","North America","Full","United States","Greenville","2014-Submitted","GRV"
"52.40637","No","Other","Poznan","16.92517","Central Europe/CIS","Zero","Poland","Poznan","None","GSP"
"-23.4166667","No","Other","Guararema (MIS)","-46.0333333","Latin America","Zero","Brazil","Guararema","None","GUA (MIS)"
"-23.4166667","No","Chocolate","Guararema","-46.0333333","Latin America","Zero","Brazil","Guararema","None","GUA"
