Latitude,Longitude,CMT Primary,Segment,Site Name,Region,Engagement,Country,City,Training,,
43.3557283,132.186676,No,RCC,Artem,Central Europe/CIS,Zero,Russia,Artem,None,,
-33.8271347,18.5329594,No,RCC,Capetown,META,Zero,South Africa,Capetown,None,,
-36.84846,174.76333,No,RCC,Auckland,Asia Pacific,Zero,New Zealand,Auckland,None,,
41.284549,1.990254,No,RCC,Barcelona,Western Europe,Zero,Spain,Barcelona,None,,
44.435278,26.102778,No,RCC,Buccharest,Central Europe/CIS,Partial: Training 2,Romania,Buccharest,2014-Submitted,,
44.8811846,-0.3580789,No,RCC,Beychac,Western Europe,Zero,France,Beychac,None,,
47.45365,18.97465,No,RCC,Budapest,Central Europe/CIS,Zero,Hungary,Budapest,None,,
44.82056,20.46222,No,RCC,Belgrade,Central Europe/CIS,Zero,Serbia,Belgrade,None,,
16.26012,-61.5903,No,RCC,Baie Mahaut,Latin America,Zero,Guadaloupe,Baie Mahault,None,,
50.7955117,4.4062792,No,RCC,Brussels,Western Europe,Zero,Belgium,Brussels,None,,
12.9716,77.59456,No,RCC,Bangalore,META,Zero,India,Bangalore,None,,
19.07598,72.87766,No,RCC,Mumbai,META,Zero,India,Mumbai,None,,
13.7255001,100.5260729,Yes,RCC,Bangkok,Asia Pacific,Partial: CMT 2,Thailand,Bangkok,None,,
50.09635,3.239292,No,RCC,Cambrai,Western Europe,Zero,France,Les Rues des Vignes,None,,
48.0436532,10.7125364,No,RCC,Buchloe,Western Europe,Zero,Germany,Buchloe,None,,
-21.915905,-47.620268,No,RCC,Descalvado,Latin America,Zero,Brazil,Descalvado,None,,
-34.61,-58.37,No,RCC,Buenos Aires,Latin America,Zero,Argentina,Buenos Aires,None,,
43.685081,4.208849,Yes,RCC,Aimargues,Western Europe,Full,France,Aimargues,2014-Submitted,,
55.17453,61.42668,No,RCC,Chelyabinsk,Central Europe/CIS,Zero,Russia,Chelyabinsk,None,,
47.440866,8.469661,No,RCC,Hunzenschwil,Western Europe,Zero,Switzerland,Regendorf,None,,
60.252281,25.01689,No,RCC,Helsinki,Western Europe,Zero,Finland,Helsinki,None,,
-34.849583,-58.657086,No,RCC,La Matanza,Latin America,Zero,ITALY,Milan,None,,
38.722252,-9.139337,No,RCC,Lisbon,Western Europe,Partial: Training 2,Portugal,TBD,2014-Submitted,,
51.088689,-2.513101,No,RCC,Somerset,Western Europe,Zero,United Kingdom,Castle Cary,None,,
51.615789,5.53924,No,RCC,Veghel (RCN),Western Europe,Zero,Netherlands,Veghel,None,,
37.948544,-91.77153,No,RCC,Rolla,North America,Zero,United States,Rolla,None,,
-31.3361666,-64.1917232,No,RCC,Cordoba,Latin America,Zero,Argentina,Cordoba,None,,
45.6100114,5.1671558,No,RCC,Chamb?ry,Western Europe,Zero,France,Chamb?ry,None,,
28.63531,77.22496,No,RCC,RDE,META,Zero,India,Delhi,None,,
56.3624991,37.541111,No,RCC,RDM,Central Europe/CIS,Zero,Russia,Dmitrov,None,,
46.7020864,0.4319404,No,RCC,Dissay,Western Europe,Zero,France,Dissay,None,,
-21.9159,-47.62027,No,RCC,Descalvado,Latin America,Zero,Brazil,Descalvado,None,,
-8.06,-34.53,Yes,Pets,Recife,Latin America,Partial: CMT 2,Brazil,Abreu e Lima,None,,
56.837814,60.596842,No,RCC,Ekaterimburg,Central Europe/CIS,Zero,Russia,Ekaterimburg,None,,
56.94965,24.10519,No,RCC,Riga,Central Europe/CIS,Zero,Latvia,Riga,None,,
47.7200879,-2.5877734,No,RCC,Elven,Western Europe,Zero,France,Elven,None,,
50.9158006,6.8213139,No,RCC,Frechen,Western Europe,Zero,Germany,Frechen,None,,
47.4441835,8.4587015,Yes,RCC,Regensdorf,Western Europe,Full,Switzerland,Regensdorf,2014-Submitted,,
57.7488329,11.99787,No,RCC,RCC Sweden,Western Europe,Zero,Sweden,TBD,None,,
50.4763838,4.4723781,No,RCC,Gosselies,Western Europe,Zero,Belgium,Gosselies,None,,
43.458057,-80.120834,No,RCC,RCC Guelph,North America,Partial: Training 2,Canada,Guelph,2014-Submitted,,
43.458057,-80.120834,No,Pets,RCC Canada Guelph,North America,Zero,Canada,Guelph,None,,
47.5754859,6.7584771,No,RCC,Hericourt,Western Europe,Zero,France,Hericourt,None,,
17.38504,78.48667,No,RCC,Hyderabad,META,Zero,India,Hyderabad,None,,
56.95,24.1,No,Multisales,Riga,Central Europe/CIS,Zero,Latvia,Riga,None,,
52.268056,104.388889,No,RCC,Irkustsk,Central Europe/CIS,Zero,Russia,Irkustsk,None,,
39.9571092,116.3207695,No,RCC,Beijing,Asia Pacific,Zero,China,Beijing,None,,
-6.30681,106.79269,No,RCC,Kelurahan Bintaro Jakarta Selatan,Asia Pacific,Zero,Indonesia,Kelurahan Bintaro Jakarta Selatan,None,,
41.00527,28.97696,No,RCC,Istanbul,Central Europe/CIS,Zero,Turkey,Istanbul,None,,
-26.0343412,27.9534284,No,RCC,Johannesburg,META,Zero,South Africa,Johannesburg,None,,
54.7077522,20.5444024,No,RCC,Kaliningrad,Central Europe/CIS,Zero,Russia,Kaliningrad,None,,
50.434167,30.559167,No,RCC,Kiev,Central Europe/CIS,Zero,Ukraine,Kiev,None,,
56.01275,92.92236,No,RCC,Krasnoyarsk,Central Europe/CIS,Zero,Russia,Krasnoyarsk,None,,
-26.2041,28.04731,No,RCC,RJO,META,Zero,South Africa,Johannesburg,None,,
50.9106844,6.9707157,No,RCC,K?ln,Western Europe,Partial: Training 2,Germany,K?ln,2014-Submitted,,
